"CUSTOMER_ID";"CITY";"STATE_PROVINCE";"COUNTRY";"BIRTHDATE";"MARITAL_STATUS";"YEARLY_INCOME";"GENDER";"MEMBER_CARD";"OCCUPATION";"FULLNAME";"POPULATION"
107;"Cliffside";"BC";"Canada";09-MAY-21;"M";"$30K - $50K";"M";"Bronze";"Manual";"Barney Velasquez";38000000
108;"Shawnee";"BC";"Canada";13-MAY-31;"M";"$90K - $110K";"M";"Bronze";"Management";"Kenneth Dubois";38000000
109;"Newton";"BC";"Canada";01-AUG-29;"S";"$50K - $70K";"M";"Bronze";"Professional";"Kate Maestas";38000000
110;"West Covina";"CA";"USA";03-FEB-42;"S";"$10K - $30K";"M";"Normal";"Manual";"Josie Underwood";328000000
111;"Palo Alto";"CA";"USA";21-OCT-65;"M";"$70K - $90K";"F";"Bronze";"Management";"Ramon Strain";328000000
112;"Santa Monica";"CA";"USA";24-NOV-48;"M";"$30K - $50K";"F";"Bronze";"Skilled Manual";"Pat Azari";328000000
113;"Sooke";"BC";"Canada";20-MAY-64;"M";"$110K - $130K";"F";"Bronze";"Professional";"Bob Dabit";38000000
114;"Sooke";"BC";"Canada";16-APR-43;"S";"$150K +";"F";"Silver";"Professional";"Marty Carmona";38000000
115;"Altadena";"CA";"USA";09-JUN-77;"S";"$90K - $110K";"F";"Silver";"Professional";"Gina Saxton";328000000
116;"Burnaby";"BC";"Canada";11-OCT-34;"S";"$90K - $110K";"M";"Bronze";"Management";"Juan McLaughlin";38000000
117;"Albany";"OR";"USA";04-FEB-54;"M";"$90K - $110K";"F";"Bronze";"Professional";"Carol Eyster";328000000
118;"Bremerton";"WA";"USA";04-OCT-13;"S";"$50K - $70K";"M";"Bronze";"Professional";"Nancy Henry";328000000
119;"N. Vancouver";"BC";"Canada";26-JUL-57;"S";"$10K - $30K";"M";"Normal";"Manual";"Chris Barros";38000000
120;"Milwaukie";"OR";"USA";28-JAN-57;"M";"$30K - $50K";"F";"Bronze";"Skilled Manual";"Christopher Groome";328000000
121;"Santa Monica";"CA";"USA";17-FEB-12;"S";"$30K - $50K";"F";"Silver";"Manual";"Anna Hill";328000000
122;"Walla Walla";"WA";"USA";22-SEP-20;"M";"$30K - $50K";"F";"Bronze";"Skilled Manual";"Ramon Williams";328000000
123;"Richmond";"CA";"USA";08-JUL-64;"M";"$30K - $50K";"F";"Bronze";"Manual";"Scott Masters";328000000
124;"Oakland";"CA";"USA";07-SEP-30;"S";"$70K - $90K";"F";"Bronze";"Professional";"Joseph Brady, Jr.";328000000
125;"Bellflower";"CA";"USA";04-DEC-72;"M";"$70K - $90K";"M";"Bronze";"Professional";"Ellen Gray";328000000
126;"Ballard";"WA";"USA";03-FEB-47;"S";"$110K - $130K";"F";"Normal";"Professional";"Henry Fielder";328000000
127;"Everett";"WA";"USA";18-JUN-32;"S";"$10K - $30K";"M";"Normal";"Skilled Manual";"Jeanine Finnell";328000000
128;"Salem";"OR";"USA";18-APR-47;"S";"$30K - $50K";"F";"Bronze";"Skilled Manual";"Ian Schuetz";328000000
129;"Concord";"CA";"USA";11-MAY-25;"M";"$50K - $70K";"F";"Bronze";"Professional";"Richard Runyon";328000000
130;"Concord";"CA";"USA";15-APR-49;"S";"$110K - $130K";"F";"Bronze";"Professional";"Linda Potter";328000000
131;"La Jolla";"CA";"USA";06-MAR-44;"S";"$10K - $30K";"M";"Normal";"Manual";"Mary Smith";328000000
132;"Cliffside";"BC";"Canada";05-MAR-33;"S";"$30K - $50K";"F";"Silver";"Skilled Manual";"Barbara Brumagen";38000000
133;"Burbank";"CA";"USA";22-FEB-15;"M";"$30K - $50K";"M";"Bronze";"Skilled Manual";"Thelma Hamilton";328000000
134;"Spokane";"WA";"USA";04-OCT-18;"S";"$50K - $70K";"M";"Bronze";"Professional";"Shirley J Wilbert";328000000
135;"Tixapan";"DF";"Mexico";23-MAR-24;"M";"$110K - $130K";"M";"Silver";"Professional";"Jeremy Ingram";126000000
136;"Lynnwood";"WA";"USA";22-MAY-56;"M";"$150K +";"M";"Golden";"Professional";"Sharon Haddix";328000000
137;"Newport Beach";"CA";"USA";08-MAR-43;"M";"$130K - $150K";"F";"Bronze";"Professional";"Leland Thomas";328000000
138;"Oak Bay";"BC";"Canada";22-SEP-25;"S";"$90K - $110K";"F";"Silver";"Professional";"Don Wilson";38000000
139;"Coronado";"CA";"USA";05-APR-31;"M";"$30K - $50K";"M";"Bronze";"Manual";"Wayne Stovall";328000000
140;"La Mesa";"CA";"USA";14-NOV-47;"M";"$10K - $30K";"M";"Normal";"Skilled Manual";"Douglas Russell";328000000
141;"Santa Anita";"DF";"Mexico";24-JUL-39;"M";"$10K - $30K";"M";"Normal";"Skilled Manual";"Maureen Doose";126000000
